,0,1,2,3,4
0,Región,Femenino,Masculino,Persona Jurídica,Total general
1,Arica,0,1,0,1
2,Tarapacá,9,9,0,18
3,Antofagasta,1,3,0,4
4,Atacama,9,18,0,27
5,Coquimbo,222,179,11,412
6,Valparaíso,12,13,1,26
7,Metropolitana,35,27,0,62
8,O'Higgins,111,132,8,251
9,Maule,358,361,12,731
10,Bio-Bío,117,121,2,240
11,Araucanía,165,149,6,320
12,Los Ríos,94,81,5,180
13,Los Lagos,187,171,12,370
14,Aysén,13,10,0,23
15,Magallanes,21,20,0,41
16,Total general,1.354,1.295,57,2.706
