,0,1,2,3,4
0,Región,Femenino,Masculino,Persona Jurídica,Total general
1,Arica,0,1,0,1
2,Tarapacá,10,12,0,22
3,Antofagasta,29,15,0,44
4,Atacama,37,34,2,73
5,Coquimbo,266,201,13,480
6,Valparaíso,186,115,1,302
7,Metropolitana,91,64,2,157
8,O'Higgins,165,179,9,353
9,Maule,413,423,13,849
10,Bio-Bío,154,159,4,317
11,Araucanía,190,164,6,360
12,Los Ríos,130,133,6,269
13,Los Lagos,276,262,18,556
14,Aysén,34,30,0,64
15,Magallanes,56,42,1,99
16,Total general,2.037,1.834,75,3.946
