,0,1,2,3
0,Región,Rural,Urbano,Total general
1,Arica,1,0,1
2,Tarapacá,18,4,22
3,Antofagasta,4,40,44
4,Atacama,27,46,73
5,Coquimbo,412,68,480
6,Valparaíso,26,276,302
7,Metropolitana,62,95,157
8,O'Higgins,251,102,353
9,Maule,731,118,849
10,Bio-Bío,240,77,317
11,Araucanía,320,40,360
12,Los Ríos,180,89,269
13,Los Lagos,370,186,556
14,Aysén,23,41,64
15,Magallanes,41,58,99
16,Total general,2.706,1.240,3.946
