Pueblos indígenas de Chile (2017)[264]​,Pueblos indígenas de Chile (2017)[264]​,Pueblos indígenas de Chile (2017)[264]​
Etnia,Población,%
Mapuche,1 745 147,798
Aimara,156 754,72
Diaguita,88 474,41
Quechua,33 868,16
Lican Antai,30 369,14
Colla,20 744,9
Rapanui,9399,4
Kawésqar,3448,1
Yagán,1600,1
Otro o ignorado,95 989,44
Total,2 185 792,1000
