Chile,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales,Tratados internacionales
Chile,CESCR[205]​,CESCR[205]​,CCPR[206]​,CCPR[206]​,CCPR[206]​,CERD[207]​,CED[208]​,CEDAW[209]​,CEDAW[209]​,CAT[210]​,CAT[210]​,CRC[211]​,CRC[211]​,CRC[211]​,MWC[212]​,CRPD[213]​,CRPD[213]​
Chile,CESCR,CESCR-OP,CCPR,CCPR-OP1,CCPR-OP2-DP,CERD[207]​,CED[208]​,CEDAW,CEDAW-OP,CAT,CAT-OP,CRC,CRC-OP-AC,CRC-OP-SC,MWC[212]​,CRPD,CRPD-OP
Pertenencia,,,,,,,,,,,,,,,,,
"Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes.","Firmado y ratificado, firmado, pero no ratificado, ni firmado ni ratificado, sin información, ha accedido a firmar y ratificar el órgano en cuestión, pero también reconoce la competencia de recibir y procesar comunicaciones individuales por parte de los órganos competentes."
