0,1
Diez cumbres más altas de Chile,Diez cumbres más altas de Chile
Nombre,Altitud (msnm)
Nevado Ojos del Salado (AR),6891
Nevado Tres Cruces (AR),6758
Llullaillaco (AR),6739
Incahuasi (AR),6638
Tupungato (AR),6565
Ata (AR),6501
El Muerto (AR),6488
Parinacota (BO),6342
Pomerape (BO),6282
Los Patos (AR),6239
(AR) Compartida con la Argentina.(BO) Compartida con Bolivia.,(AR) Compartida con la Argentina.(BO) Compartida con Bolivia.
